timestamp,cpu_percent,mem_usage_bytes,mem_limit_bytes,mem_percent,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2026-06-22T16:09:05,122.33,503734272,33021190144,1.53,125361,40321,0,0
2026-06-22T16:09:17,119.38,619745280,33021190144,1.88,3477205,3383805,0,0
2026-06-22T16:09:31,109.45,699478016,33021190144,2.12,7436297,7685688,0,0
2026-06-22T16:09:45,3.55,719745024,33021190144,2.18,10366333,11695237,0,0
2026-06-22T16:09:59,86.21,735346688,33021190144,2.23,13034667,14296442,0,0
2026-06-22T16:10:13,57.19,836763648,33021190144,2.53,18096180,20044361,0,0
2026-06-22T16:10:27,13.70,872112128,33021190144,2.64,22393453,25482125,0,0
2026-06-22T16:10:42,121.06,894857216,33021190144,2.71,25045261,27952481,0,0
2026-06-22T16:10:56,96.50,903151616,33021190144,2.74,30623030,34260343,0,0
