timestamp,cpu_percent,mem_usage_bytes,mem_limit_bytes,mem_percent,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2026-06-22T16:09:05,147.23,1576927232,33021190144,4.78,17427538,72141361,0,0
2026-06-22T16:09:17,125.25,1789317120,33021190144,5.42,23695249,218231396,0,0
2026-06-22T16:09:31,188.71,1946533888,33021190144,5.89,30282510,381116045,0,0
2026-06-22T16:09:45,5.74,2075213824,33021190144,6.28,33342399,459617255,0,0
2026-06-22T16:09:59,224.76,2154188800,33021190144,6.52,41035942,636856058,0,0
2026-06-22T16:10:13,200.71,2306809856,33021190144,6.99,49239891,833016193,0,0
2026-06-22T16:10:27,230.30,1889271808,33021190144,5.72,58056709,1057304376,0,0
2026-06-22T16:10:42,186.35,2218975232,33021190144,6.72,66566414,1266293991,0,0
2026-06-22T16:10:56,218.45,2132811776,33021190144,6.46,75931843,1498628444,0,0
